Using OpenSHMEM version 1.3
Created all test list.
Will be running with 128 different tests
Will be running with 22 different size configurations
Using OpenSHMEM version 1.3
Running tests

#---------------------------------------------------
# Benchmarking shmem_local_read 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
        65536           500           55699          118384           57418.47                   7358.65
       131072           500          101197          157120          104552.52                   8082.49
       262144           500          193159          257563          198243.12                   8525.34
       524288           500          377572          489372          384469.23                   8791.81
      1048576           250          747871          866335          760945.54                   8884.16
      2097152           250         1489385         1708638         1506520.87                   8974.80
      4194304           250         2979019         3288776         3014164.67                   8971.45
      8388608           100         6005076         6339554         6079904.37                   8895.35
     16777216           100        11914739        12430601        12045118.19                   8980.05

#---------------------------------------------------
# Benchmarking shmem_longlong_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6248           81242            6454.80                      7.99
           16          1000            6186           22626            6352.90                     16.24
           32          1000            6264           23978            6421.72                     32.13
           64          1000            6292           10512            6469.80                     63.78
          128          1000            6362           24025            6542.65                    126.13
          256          1000            6508           10226            6654.76                    248.01
          512          1000            6895           10790            7057.22                    467.74
         1024          1000            7647           10463            7854.67                    840.51
         2048          1000            9173           13354            9496.66                   1390.37
         4096          1000           13169           60816           13509.94                   1954.68
         8192          1000           16019           69554           16497.55                   3201.40
        16384          1000           21744           79102           22534.67                   4687.47
        32768           500           33333           85987           34398.61                   6141.56
        65536           500           56317          126993           57988.07                   7286.37
       131072           500          102557          155783          105259.82                   8028.18
       262144           500          195177          259843          199304.52                   8479.94
       524288           500          383125          491772          389508.63                   8678.06
      1048576           250          755044          880500          766676.48                   8817.75
      2097152           250         1508118         1639929         1528006.69                   8848.60
      4194304           250         3013553         3244658         3051551.35                   8861.54
      8388608           100         5998471         6280914         6077222.87                   8899.28
     16777216           100        11919019        12241830        12032532.99                   8989.44

#---------------------------------------------------
# Benchmarking shmem_float_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6240           35504            6413.86                      8.04
           16          1000            6209           27324            6356.71                     16.23
           32          1000            6245            8424            6407.22                     32.20
           64          1000            6316            8458            6469.77                     63.78
          128          1000            6401            9675            6528.83                    126.40
          256          1000            6448           26196            6675.52                    247.24
          512          1000            6895           22478            7128.30                    463.08
         1024          1000            7600           83909            7963.25                    829.05
         2048          1000            9059           31495            9509.58                   1388.48
         4096          1000           13107           80948           13489.47                   1957.65
         8192          1000           16027           55639           16457.37                   3209.22
        16384          1000           21705           73709           22323.95                   4731.72
        32768           500           33372           44282           34082.73                   6198.48
        65536           500           56271          118987           58787.00                   7187.35
       131072           500          102451          169244          105597.09                   8002.54
       262144           500          195130          254812          199944.71                   8452.79
       524288           500          383651          451492          389327.46                   8682.10
      1048576           250          755351          872692          767893.85                   8803.77
      2097152           250         1508552         1711795         1526877.14                   8855.15
      4194304           250         3017718         3329542         3056937.76                   8845.92
      8388608           100         6008383         6484292         6078475.40                   8897.44
     16777216           100        11923231        12381337        12040669.65                   8983.37

#---------------------------------------------------
# Benchmarking shmem_double_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6240           30452            6411.06                      8.05
           16          1000            6162           31664            6364.21                     16.21
           32          1000            6284           92539            6526.38                     31.61
           64          1000            6287           24841            6491.44                     63.56
          128          1000            6370            8346            6533.22                    126.31
          256          1000            6511           27004            6686.88                    246.82
          512          1000            6812           91203            7173.87                    460.14
         1024          1000            7631           83891            7995.90                    825.66
         2048          1000            9137           11261            9493.58                   1390.82
         4096          1000           13159           55446           13494.68                   1956.89
         8192          1000           16042           66213           16540.58                   3193.08
        16384          1000           21768           78800           22390.84                   4717.58
        32768           500           33312          110053           34385.11                   6143.97
        65536           500           56333          111010           57988.69                   7286.29
       131072           500          102695          169493          105211.02                   8031.91
       262144           500          195255          264393          198898.62                   8497.24
       524288           500          382475          448509          389189.53                   8685.18
      1048576           250          755562          877105          768979.98                   8791.33
      2097152           250         1511371         1685500         1528623.67                   8845.03
      4194304           250         3020290         3241181         3057562.11                   8844.12
      8388608           100         6011001         6331598         6074574.91                   8903.15
     16777216           100        11930054        12558079        12044991.69                   8980.14

#---------------------------------------------------
# Benchmarking shmem_longdouble_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6162           17797            6353.70                     16.24
           16          1000            6193            9368            6339.57                     16.27
           32          1000            6264            8185            6412.16                     32.17
           64          1000            6331           30429            6489.23                     63.59
          128          1000            6378           10520            6537.06                    126.24
          256          1000            6446           29292            6656.53                    247.95
          512          1000            6888           17873            7069.10                    466.96
         1024          1000            7631           11128            7845.05                    841.54
         2048          1000            9199           82414            9614.73                   1373.29
         4096          1000           13060          110573           13705.73                   1926.76
         8192          1000           15980           66185           16550.38                   3191.18
        16384          1000           21573           35496           22047.46                   4791.06
        32768           500           33034           84156           34314.27                   6156.66
        65536           500           55823          118542           57756.52                   7315.58
       131072           500          101585          213468          105021.55                   8046.40
       262144           500          193879          258338          198442.23                   8516.79
       524288           500          378001          577735          386015.45                   8756.59
      1048576           250          748089          864999          761416.54                   8878.66
      2097152           250         1492097         1660992         1510634.60                   8950.36
      4194304           250         2982277         3417154         3021219.63                   8950.50
      8388608           100         6014124         6370040         6077645.75                   8898.66
     16777216           100        11931991        12350066        12054879.99                   8972.78

#---------------------------------------------------
# Benchmarking shmem_put32 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6256            9498            6375.36                      8.09
           16          1000            6186           29532            6378.63                     16.17
           32          1000            6264           79463            6484.22                     31.82
           64          1000            6331            8588            6465.76                     63.82
          128          1000            6370           30104            6553.65                    125.92
          256          1000            6503           22262            6679.04                    247.11
          512          1000            6880           10231            7052.43                    468.06
         1024          1000            7629           30088            7887.60                    837.00
         2048          1000            9105           11321            9478.33                   1393.05
         4096          1000           13185           64354           13543.10                   1949.90
         8192          1000           16050           96754           16624.14                   3177.03
        16384          1000           21776           79913           22531.32                   4688.17
        32768           500           33372           90737           34288.29                   6161.32
        65536           500           56396          115869           58305.75                   7246.67
       131072           500          102599          162673          105745.65                   7991.30
       262144           500          195021          261559          199510.08                   8471.20
       524288           500          384376          450093          389545.84                   8677.23
      1048576           250          755466          873342          767178.02                   8811.98
      2097152           250         1509171         1670256         1526363.79                   8858.12
      4194304           250         3020776         3263594         3058914.03                   8840.21
      8388608           100         6012384         6319211         6069825.00                   8910.12
     16777216           100        11929905        12433658        12066867.61                   8963.86

#---------------------------------------------------
# Benchmarking shmem_put64 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6253           28211            6419.97                      8.03
           16          1000            6206            8817            6331.37                     16.29
           32          1000            6232           26003            6430.78                     32.08
           64          1000            6277           25208            6499.83                     63.48
          128          1000            6355           79206            6628.45                    124.50
          256          1000            6417           22563            6641.72                    248.50
          512          1000            6864           26008            7108.05                    464.40
         1024          1000            7629           28606            7854.37                    840.54
         2048          1000            9118           33510            9495.81                   1390.49
         4096          1000           13154           56011           13530.16                   1951.76
         8192          1000           16074           63689           16535.81                   3194.00
        16384          1000           21791           69058           22456.55                   4703.78
        32768           500           33387          106834           34451.71                   6132.10
        65536           500           56388          108800           57959.85                   7289.92
       131072           500          102679          164782          105637.91                   7999.45
       262144           500          195161          263512          200125.52                   8445.15
       524288           500          383216          456770          390263.86                   8661.27
      1048576           250          756170          974600          771244.82                   8765.52
      2097152           250         1509811         1737681         1528427.19                   8846.17
      4194304           250         3016774         3664579         3082500.73                   8772.57
      8388608           100         6014093         7065381         6253809.77                   8647.99
     16777216           100        12028232        13117016        12161567.77                   8894.06

#---------------------------------------------------
# Benchmarking shmem_put128 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6170            9555            6340.36                     16.27
           16          1000            6170            8650            6343.39                     16.26
           32          1000            6209           78280            6478.39                     31.85
           64          1000            6331            8440            6470.17                     63.77
          128          1000            6355            8403            6527.70                    126.42
          256          1000            6495            8201            6660.48                    247.80
          512          1000            6833           31354            7031.42                    469.46
         1024          1000            7584           10395            7839.07                    842.18
         2048          1000            9152           12543            9498.88                   1390.04
         4096          1000           13229           59911           13614.88                   1939.62
         8192          1000           16128           81572           16653.70                   3171.39
        16384          1000           21893           74674           22632.42                   4667.23
        32768           500           33473           57339           34368.31                   6146.98
        65536           500           56419          108584           58055.18                   7277.95
       131072           500          102588          162335          105529.06                   8007.70
       262144           500          195647          317377          201643.91                   8381.56
       524288           500          384506          495043          389991.55                   8667.32
      1048576           250          755747          869710          767436.07                   8809.02
      2097152           250         1510144         1695334         1528727.20                   8844.43
      4194304           250         3018691         3324823         3057881.04                   8843.20
      8388608           100         6050257         6383165         6111405.85                   8849.50
     16777216           100        12023620        12500628        12147425.06                   8904.42

#---------------------------------------------------
# Benchmarking shmem_short_iput 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000           10551           39583           10774.43                      4.79
           16          1000           16292           86975           16601.50                      6.21
           32          1000           27834           51892           28151.39                      7.33
           64          1000           50920           75046           51349.59                      8.04
          128          1000           97149          179056           98015.83                      8.42
          256          1000          189620          213294          190651.59                      8.66
          512          1000          374527          421861          376474.20                      8.77
